time,lat,lon
4107.0,41.0505,163.8719
4107.6,41.0856,163.8826
4108.2,41.1208,163.8933
4108.8,41.1559,163.904
4109.4,41.191,163.9147
4110.0,41.2262,163.9254
4110.6,41.2613,163.9361
4111.2,41.2964,163.9469
4111.9,41.3315,163.9577
4112.5,41.3667,163.9684
4113.1,41.4018,163.9792
4113.7,41.4369,163.99
4114.3,41.472,164.0008
4114.9,41.5071,164.0117
4115.5,41.5423,164.0225
4116.2,41.5774,164.0334
4116.8,41.6125,164.0443
4117.4,41.6476,164.0552
4118.0,41.6827,164.0661
4118.6,41.7178,164.077
4119.2,41.7529,164.0879
4119.8,41.788,164.0989
4120.5,41.8231,164.1098
4121.1,41.8582,164.1208
4121.7,41.8933,164.1318
4122.3,41.9284,164.1428
4122.9,41.9635,164.1538
4123.5,41.9986,164.1649
4124.1,42.0337,164.1759
4124.8,42.0688,164.187
4125.4,42.1039,164.198
4126.0,42.139,164.2091
4126.6,42.1741,164.2202
4127.2,42.2092,164.2314
4127.8,42.2442,164.2425
4128.4,42.2793,164.2537
4129.1,42.3144,164.2648
4129.7,42.3495,164.276
4130.3,42.3846,164.2872
4130.9,42.4196,164.2984
4131.5,42.4547,164.3097
4132.1,42.4898,164.3209
4132.7,42.5248,164.3322
4133.4,42.5599,164.3434
4134.0,42.595,164.3547
4134.6,42.63,164.366
4135.2,42.6651,164.3773
4135.8,42.7002,164.3887
4136.4,42.7352,164.4
4137.0,42.7703,164.4114
4137.7,42.8053,164.4228
4138.3,42.8404,164.4342
4138.9,42.8754,164.4456
4139.5,42.9105,164.457
4140.1,42.9455,164.4685
4140.7,42.9806,164.4799
4141.3,43.0156,164.4914
4142.0,43.0507,164.5029
4142.6,43.0857,164.5144
4143.2,43.1207,164.5259
4143.8,43.1558,164.5375
4144.4,43.1908,164.549
4145.0,43.2258,164.5606
4145.6,43.2609,164.5722
4146.3,43.2959,164.5838
4146.9,43.3309,164.5954
4147.5,43.366,164.607
4148.1,43.401,164.6187
4148.7,43.436,164.6303
4149.3,43.471,164.642
4149.9,43.506,164.6537
4150.6,43.5411,164.6654
4151.2,43.5761,164.6772
4151.8,43.6111,164.6889
4152.4,43.6461,164.7007
4153.0,43.6811,164.7124
4153.6,43.7161,164.7243
4154.2,43.7511,164.7361
4154.9,43.7861,164.7479
4155.5,43.8211,164.7597
4156.1,43.8561,164.7716
4156.7,43.8911,164.7835
4157.3,43.9261,164.7954
4157.9,43.9611,164.8073
4158.5,43.9961,164.8192
4159.2,44.0311,164.8312
4159.8,44.0661,164.8431
4160.4,44.1011,164.8551
4161.0,44.136,164.8671
4161.6,44.171,164.8791
4162.2,44.206,164.8911
4162.8,44.241,164.9032
4163.5,44.276,164.9153
4164.1,44.3109,164.9273
4164.7,44.3459,164.9394
4165.3,44.3809,164.9516
4165.9,44.4158,164.9637
4166.5,44.4508,164.9758
4167.1,44.4858,164.988
4167.8,44.5207,165.0002
4168.4,44.5557,165.0124
4169.0,44.5907,165.0246
4169.6,44.6256,165.0368
4170.2,44.6606,165.0491
4170.8,44.6955,165.0614
4171.4,44.7305,165.0737
4172.1,44.7654,165.086
4172.7,44.8004,165.0983
4173.3,44.8353,165.1106
4173.9,44.8703,165.123
4174.5,44.9052,165.1354
4175.1,44.9401,165.1478
4175.7,44.9751,165.1602
4176.4,45.01,165.1726
4177.0,45.0449,165.1851
4177.6,45.0799,165.1975
4178.2,45.1148,165.21
4178.8,45.1497,165.2225
4179.4,45.1846,165.2351
4180.0,45.2196,165.2476
4180.7,45.2545,165.2602
4181.3,45.2894,165.2727
4181.9,45.3243,165.2853
4182.5,45.3592,165.2979
4183.1,45.3941,165.3106
4183.7,45.429,165.3232
4184.3,45.464,165.3359
4185.0,45.4989,165.3486
4185.6,45.5338,165.3613
4186.2,45.5687,165.374
4186.8,45.6036,165.3868
4187.4,45.6385,165.3995
4188.0,45.6733,165.4123
4188.6,45.7082,165.4251
4189.3,45.7431,165.4379
4189.9,45.778,165.4508
4190.5,45.8129,165.4636
4191.1,45.8478,165.4765
4191.7,45.8827,165.4894
4192.3,45.9175,165.5023
4192.9,45.9524,165.5152
4193.6,45.9873,165.5282
4194.2,46.0222,165.5412
4194.8,46.057,165.5542
4195.4,46.0919,165.5672
4196.0,46.1268,165.5802
4196.6,46.1616,165.5932
4197.2,46.1965,165.6063
4197.8,46.2314,165.6194
4198.5,46.2662,165.6325
4199.1,46.3011,165.6456
4199.7,46.3359,165.6588
4200.3,46.3708,165.6719
4200.9,46.4056,165.6851
4201.5,46.4405,165.6983
4202.1,46.4753,165.7116
4202.8,46.5102,165.7248
4203.4,46.545,165.7381
4204.0,46.5798,165.7514
4204.6,46.6147,165.7647
4205.2,46.6495,165.778
4205.8,46.6843,165.7913
4206.4,46.7192,165.8047
4207.1,46.754,165.8181
4207.7,46.7888,165.8315
4208.3,46.8236,165.8449
4208.9,46.8584,165.8584
4209.5,46.8933,165.8718
4210.1,46.9281,165.8853
4210.7,46.9629,165.8988
4211.4,46.9977,165.9124
4212.0,47.0325,165.9259
4212.6,47.0673,165.9395
4213.2,47.1021,165.9531
4213.8,47.1369,165.9667
4214.4,47.1717,165.9803
4215.0,47.2065,165.994
4215.7,47.2413,166.0076
4216.3,47.2761,166.0213
4216.9,47.3109,166.035
4217.5,47.3456,166.0488
4218.1,47.3804,166.0625
4218.7,47.4152,166.0763
4219.3,47.45,166.0901
4220.0,47.4848,166.104
4220.6,47.5195,166.1178
4221.2,47.5543,166.1317
4221.8,47.5891,166.1456
4222.4,47.6238,166.1595
4223.0,47.6586,166.1734
4223.6,47.6934,166.1873
4224.3,47.7281,166.2013
4224.9,47.7629,166.2153
4225.5,47.7976,166.2293
4226.1,47.8324,166.2434
4226.7,47.8671,166.2574
4227.3,47.9019,166.2715
4227.9,47.9366,166.2856
4228.6,47.9714,166.2997
4229.2,48.0061,166.3139
4229.8,48.0408,166.328
4230.4,48.0756,166.3423
4231.0,48.1103,166.3565
4231.6,48.145,166.3707
4232.2,48.1798,166.385
4232.9,48.2145,166.3992
4233.5,48.2492,166.4135
4234.1,48.2839,166.4279
4234.7,48.3186,166.4422
4235.3,48.3534,166.4566
4235.9,48.3881,166.471
4236.5,48.4228,166.4854
4237.2,48.4575,166.4999
4237.8,48.4922,166.5143
4238.4,48.5269,166.5288
4239.0,48.5616,166.5433
4239.6,48.5963,166.5579
4240.2,48.631,166.5724
4240.8,48.6657,166.587
4241.5,48.7003,166.6016
4242.1,48.735,166.6162
4242.7,48.7697,166.6309
4243.3,48.8044,166.6455
4243.9,48.8391,166.6602
4244.5,48.8737,166.675
4245.1,48.9084,166.6897
4245.8,48.9431,166.7045
4246.4,48.9777,166.7193
4247.0,49.0124,166.7341
4247.6,49.0471,166.7489
4248.2,49.0817,166.7638
4248.8,49.1164,166.7787
4249.4,49.151,166.7936
4250.1,49.1857,166.8085
4250.7,49.2203,166.8235
4251.3,49.255,166.8385
4251.9,49.2896,166.8535
4252.5,49.3243,166.8685
4253.1,49.3589,166.8836
4253.7,49.3935,166.8986
4254.4,49.4282,166.9137
4255.0,49.4628,166.9289
4255.6,49.4974,166.944
4256.2,49.532,166.9592
4256.8,49.5667,166.9744
4257.4,49.6013,166.9896
4258.0,49.6359,167.0049
4258.7,49.6705,167.0202
4259.3,49.7051,167.0355
4259.9,49.7397,167.0508
4260.5,49.7743,167.0662
4261.1,49.8089,167.0815
4261.7,49.8435,167.0969
4262.3,49.8781,167.1124
4263.0,49.9127,167.1278
4263.6,49.9473,167.1433
4264.2,49.9819,167.1588
4264.8,50.0164,167.1743
4265.4,50.051,167.1899
4266.0,50.0856,167.2055
4266.6,50.1202,167.2211
4267.3,50.1547,167.2367
4267.9,50.1893,167.2524
4268.5,50.2239,167.2681
4269.1,50.2584,167.2838
4269.7,50.293,167.2995
4270.3,50.3276,167.3153
4270.9,50.3621,167.3311
4271.6,50.3967,167.3469
4272.2,50.4312,167.3628
4272.8,50.4657,167.3786
4273.4,50.5003,167.3945
4274.0,50.5348,167.4105
4274.6,50.5694,167.4264
4275.2,50.6039,167.4424
4275.9,50.6384,167.4584
4276.5,50.673,167.4744
4277.1,50.7075,167.4905
4277.7,50.742,167.5066
4278.3,50.7765,167.5227
4278.9,50.811,167.5388
4279.5,50.8455,167.555
4280.2,50.88,167.5712
4280.8,50.9145,167.5874
4281.4,50.949,167.6037
4282.0,50.9835,167.6199
4282.6,51.018,167.6363
4283.2,51.0525,167.6526
4283.8,51.087,167.6689
4284.4,51.1215,167.6853
4285.1,51.156,167.7018
4285.7,51.1905,167.7182
4286.3,51.2249,167.7347
4286.9,51.2594,167.7512
4287.5,51.2939,167.7677
4288.1,51.3284,167.7843
4288.7,51.3628,167.8009
4289.4,51.3973,167.8175
4290.0,51.4317,167.8341
4290.6,51.4662,167.8508
4291.2,51.5006,167.8675
4291.8,51.5351,167.8842
4292.4,51.5695,167.901
4293.0,51.604,167.9178
4293.7,51.6384,167.9346
4294.3,51.6728,167.9514
4294.9,51.7073,167.9683
4295.5,51.7417,167.9852
4296.1,51.7761,168.0021
4296.7,51.8105,168.0191
4297.3,51.845,168.0361
4298.0,51.8794,168.0531
4298.6,51.9138,168.0702
4299.2,51.9482,168.0872
4299.8,51.9826,168.1044
4300.4,52.017,168.1215
4301.0,52.0514,168.1387
4301.6,52.0858,168.1559
4302.3,52.1202,168.1731
4302.9,52.1546,168.1904
4303.5,52.189,168.2077
4304.1,52.2233,168.225
4304.7,52.2577,168.2423
4305.3,52.2921,168.2597
4305.9,52.3265,168.2771
4306.6,52.3608,168.2946
4307.2,52.3952,168.312
4307.8,52.4296,168.3295
4308.4,52.4639,168.3471
4309.0,52.4983,168.3647
4309.6,52.5326,168.3822
4310.2,52.567,168.3999
4310.9,52.6013,168.4175
4311.5,52.6356,168.4352
4312.1,52.67,168.453
4312.7,52.7043,168.4707
4313.3,52.7386,168.4885
4313.9,52.773,168.5063
4314.5,52.8073,168.5242
4315.2,52.8416,168.5421
4315.8,52.8759,168.56
4316.4,52.9102,168.5779
4317.0,52.9445,168.5959
4317.6,52.9788,168.6139
4318.2,53.0131,168.6319
4318.8,53.0474,168.65
4319.5,53.0817,168.6681
4320.1,53.116,168.6863
4320.7,53.1503,168.7044
4321.3,53.1846,168.7226
4321.9,53.2189,168.7409
4322.5,53.2531,168.7592
4323.1,53.2874,168.7775
4323.8,53.3217,168.7958
4324.4,53.3559,168.8142
4325.0,53.3902,168.8326
4325.6,53.4244,168.851
4326.2,53.4587,168.8695
4326.8,53.4929,168.888
4327.4,53.5272,168.9065
4328.1,53.5614,168.9251
4328.7,53.5957,168.9437
4329.3,53.6299,168.9623
4329.9,53.6641,168.981
4330.5,53.6983,168.9997
4331.1,53.7326,169.0185
4331.7,53.7668,169.0372
4332.4,53.801,169.0561
4333.0,53.8352,169.0749
4333.6,53.8694,169.0938
4334.2,53.9036,169.1127
4334.8,53.9378,169.1317
4335.4,53.972,169.1506
4336.0,54.0062,169.1696
4336.7,54.0404,169.1887
4337.3,54.0746,169.2078
4337.9,54.1087,169.2269
4338.5,54.1429,169.2461
4339.1,54.1771,169.2653
4339.7,54.2113,169.2845
4340.3,54.2454,169.3038
4341.0,54.2796,169.3231
4341.6,54.3137,169.3424
4342.2,54.3479,169.3618
4342.8,54.382,169.3812
4343.4,54.4162,169.4007
4344.0,54.4503,169.4201
4344.6,54.4844,169.4397
4345.3,54.5186,169.4592
4345.9,54.5527,169.4788
4346.5,54.5868,169.4984
4347.1,54.6209,169.5181
4347.7,54.655,169.5378
4348.3,54.6892,169.5576
4348.9,54.7233,169.5773
4349.6,54.7574,169.5972
4350.2,54.7915,169.617
4350.8,54.8256,169.6369
4351.4,54.8596,169.6568
4352.0,54.8937,169.6768
4352.6,54.9278,169.6968
4353.2,54.9619,169.7168
4353.9,54.9959,169.7369
4354.5,55.03,169.757
4355.1,55.0641,169.7772
4355.7,55.0981,169.7974
4356.3,55.1322,169.8176
4356.9,55.1662,169.8379
4357.5,55.2003,169.8582
4358.2,55.2343,169.8785
4358.8,55.2684,169.8989
4359.4,55.3024,169.9193
4360.0,55.3364,169.9398
4360.6,55.3704,169.9603
4361.2,55.4045,169.9809
4361.8,55.4385,170.0014
4362.5,55.4725,170.0221
4363.1,55.5065,170.0427
4363.7,55.5405,170.0634
4364.3,55.5745,170.0842
4364.9,55.6085,170.1049
4365.5,55.6425,170.1258
4366.1,55.6765,170.1466
4366.8,55.7104,170.1675
4367.4,55.7444,170.1885
4368.0,55.7784,170.2095
4368.6,55.8123,170.2305
4369.2,55.8463,170.2515
4369.8,55.8803,170.2726
4370.4,55.9142,170.2938
4371.1,55.9482,170.315
4371.7,55.9821,170.3362
4372.3,56.016,170.3575
4372.9,56.05,170.3788
4373.5,56.0839,170.4001
4374.1,56.1178,170.4215
4374.7,56.1517,170.443
4375.3,56.1856,170.4645
4376.0,56.2196,170.486
4107.0,41.0113,163.8845
4107.6,41.0465,163.8951
4108.2,41.0816,163.9058
4108.8,41.1167,163.9165
4109.4,41.1519,163.9272
4110.0,41.187,163.9379
4110.6,41.2221,163.9487
4111.2,41.2572,163.9594
4111.9,41.2924,163.9702
4112.5,41.3275,163.9809
4113.1,41.3626,163.9917
4113.7,41.3977,164.0025
4114.3,41.4328,164.0133
4114.9,41.468,164.0242
4115.5,41.5031,164.035
4116.1,41.5382,164.0459
4116.8,41.5733,164.0567
4117.4,41.6084,164.0676
4118.0,41.6435,164.0785
4118.6,41.6786,164.0894
4119.2,41.7137,164.1004
4119.8,41.7488,164.1113
4120.4,41.7839,164.1223
4121.0,41.819,164.1333
4121.7,41.8541,164.1443
4122.3,41.8892,164.1553
4122.9,41.9243,164.1663
4123.5,41.9594,164.1773
4124.1,41.9945,164.1884
4124.7,42.0296,164.1994
4125.3,42.0647,164.2105
4125.9,42.0998,164.2216
4126.6,42.1349,164.2327
4127.2,42.1699,164.2438
4127.8,42.205,164.2549
4128.4,42.2401,164.2661
4129.0,42.2752,164.2773
4129.6,42.3103,164.2884
4130.2,42.3453,164.2996
4130.9,42.3804,164.3109
4131.5,42.4155,164.3221
4132.1,42.4505,164.3333
4132.7,42.4856,164.3446
4133.3,42.5207,164.3558
4133.9,42.5557,164.3671
4134.5,42.5908,164.3784
4135.1,42.6259,164.3897
4135.8,42.6609,164.4011
4136.4,42.696,164.4124
4137.0,42.731,164.4238
4137.6,42.7661,164.4352
4138.2,42.8011,164.4466
4138.8,42.8362,164.458
4139.4,42.8712,164.4694
4140.0,42.9063,164.4808
4140.7,42.9413,164.4923
4141.3,42.9764,164.5038
4141.9,43.0114,164.5153
4142.5,43.0464,164.5267
4143.1,43.0815,164.5383
4143.7,43.1165,164.5498
4144.3,43.1516,164.5614
4144.9,43.1866,164.5729
4145.6,43.2216,164.5845
4146.2,43.2566,164.5961
4146.8,43.2917,164.6077
4147.4,43.3267,164.6194
4148.0,43.3617,164.631
4148.6,43.3967,164.6427
4149.2,43.4318,164.6543
4149.8,43.4668,164.666
4150.5,43.5018,164.6777
4151.1,43.5368,164.6895
4151.7,43.5718,164.7012
